ticket_id,event_id,section,available,price,row,seller_id
145,164,556,8,49,13,4
146,164,565,6,49,8,4
147,164,506,4,49,10,4
148,164,558,4,49,12,4
149,164,537,2,53,1,4
150,164,107,6,51,10,4
151,164,557,4,52,9,4
152,164,116,6,50,35,4
153,164,102,4,50,3,4
154,164,558,2,51,3,4
155,164,146,2,50,15,4
156,164,163,5,51,3,4
157,164,527,4,53,1,4
158,164,506,2,52,3,4
159,164,552,8,52,9,4
160,164,520,6,52,21,4
161,164,520,4,52,18,4
162,164,548,2,52,12,4
163,164,516,8,52,15,4
164,164,550,8,52,13,4
165,164,536,5,51,6,4
166,164,544,4,52,14,4
167,164,544,6,52,20,4
168,164,554,4,52,4,4
169,164,518,8,52,14,4
170,164,554,8,52,7,4
171,164,546,8,52,13,4
172,164,510,6,52,11,4
173,164,512,8,52,12,4
174,164,510,8,52,12,4
175,164,548,8,52,13,4
176,164,514,2,52,21,4
177,164,516,4,52,13,4
178,164,552,2,52,7,4
179,164,552,6,52,8,4
180,164,550,6,52,12,4
181,164,159,4,55,9,4
182,164,152,4,51,6,4
183,164,114,8,51,21,4
184,164,118,2,52,12,4
185,164,509,3,53,14,4
186,164,544,2,52,11,4
187,164,565,8,53,16,4
188,164,506,3,53,7,4
189,164,509,5,53,14,4
190,164,508,3,53,8,4
191,164,507,8,53,15,4
192,164,544,8,52,11,4
193,164,544,4,52,12,4
194,164,544,4,52,10,4
195,164,103,4,53,2,4
196,164,117,2,53,11,4
197,164,158,2,53,9,4
198,164,536,10,53,4,4
199,164,158,10,53,14,4
200,164,516,2,54,3,4
201,164,528,7,53,5,4
202,164,531,18,53,17,4
203,164,535,1,55,1,4
204,164,530,18,53,16,4
205,164,533,11,53,18,4
206,164,118,4,54,19,4
207,164,101,11,54,2,4
208,164,548,3,55,7,4
209,164,506,9,54,15,4
210,164,509,5,54,13,4
211,164,565,4,54,10,4
212,164,565,4,54,10,4
213,164,565,18,54,14,4
214,164,565,16,54,15,4
215,164,565,4,54,9,4
216,164,556,5,54,12,4
217,164,556,18,54,15,4
218,164,557,18,54,15,4
219,164,509,2,54,15,4
220,164,512,8,55,13,4
221,164,550,5,55,10,4
222,164,103,4,55,3,4
223,164,152,4,55,6,4
